epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4891,1.33735,1.10759,1.24056,0.95435,0.70874,0.76903,0.55914,1.21313,0.71834,0.97435,0.000473903,0.000473903,0.000473903
2,134.344,1.06785,0.5881,0.99162,0.94134,0.71589,0.77684,0.54841,1.22074,0.73643,0.9789,0.000938477,0.000938477,0.000938477
3,200.032,1.07188,0.59541,0.99705,0.95303,0.72,0.77987,0.55596,1.18155,0.72124,0.98335,0.00139126,0.00139126,0.00139126
4,268.435,1.07394,0.59356,1.00516,0.9544,0.73453,0.78611,0.5584,1.19036,0.7245,0.98929,0.00137595,0.00137595,0.00137595
5,334.874,1.05432,0.5915,0.99854,0.94745,0.71905,0.7787,0.55382,1.19002,0.77371,0.98784,0.00135826,0.00135826,0.00135826
6,401.156,1.04793,0.58468,0.99702,0.95086,0.73244,0.78929,0.56542,1.22823,0.74225,0.97611,0.00134058,0.00134058,0.00134058
7,469.358,1.03766,0.57588,0.98775,0.95973,0.72512,0.79263,0.56665,1.19882,0.70778,0.98499,0.0013229,0.0013229,0.0013229
8,533.832,1.03937,0.58529,0.98867,0.94341,0.73313,0.78957,0.56734,1.15611,0.6992,0.97358,0.00130521,0.00130521,0.00130521
9,601.22,1.01315,0.55808,0.98505,0.94207,0.74263,0.79699,0.56707,1.17599,0.66214,0.99607,0.00128753,0.00128753,0.00128753
10,667.889,1.01817,0.5687,0.99049,0.95185,0.73541,0.79938,0.57229,1.1414,0.63998,0.98315,0.00126985,0.00126985,0.00126985
11,736.19,1.02603,0.55114,0.98777,0.93826,0.73407,0.79927,0.56755,1.17296,0.66,0.98569,0.00125216,0.00125216,0.00125216
12,803.563,1.01798,0.54968,0.98529,0.95612,0.7407,0.80486,0.57924,1.15378,0.63084,0.97261,0.00123448,0.00123448,0.00123448
13,870.185,0.99131,0.5393,0.97563,0.95688,0.73679,0.80376,0.588,1.11389,0.6302,0.95735,0.00121679,0.00121679,0.00121679
14,936.868,1.00174,0.54504,0.98344,0.95684,0.7457,0.80688,0.59172,1.12551,0.62054,0.98044,0.00119911,0.00119911,0.00119911
15,1003.17,0.96202,0.53093,0.97106,0.95642,0.74527,0.80526,0.58413,1.14731,0.64023,0.98103,0.00118143,0.00118143,0.00118143
16,1070.9,0.9853,0.53452,0.97778,0.95894,0.74206,0.80257,0.58226,1.13797,0.63051,0.98103,0.00116374,0.00116374,0.00116374
17,1136.23,0.9742,0.52927,0.9751,0.96229,0.73675,0.8059,0.57745,1.15722,0.67155,0.9775,0.00114606,0.00114606,0.00114606
18,1205.55,0.97834,0.52578,0.97549,0.95602,0.74491,0.81334,0.59418,1.12864,0.65607,0.96857,0.00112837,0.00112837,0.00112837
19,1273.01,0.98266,0.52426,0.97315,0.96233,0.74295,0.80363,0.58229,1.12821,0.64331,0.97995,0.00111069,0.00111069,0.00111069
20,1339.49,0.97312,0.52072,0.97514,0.94127,0.76439,0.81588,0.59173,1.12559,0.6234,0.9781,0.00109301,0.00109301,0.00109301
21,1408.37,0.95942,0.51236,0.96977,0.94989,0.74771,0.80356,0.58922,1.10585,0.62317,0.95813,0.00107532,0.00107532,0.00107532
22,1472.9,0.96087,0.50501,0.96618,0.96129,0.74401,0.81083,0.59358,1.10864,0.60358,0.95706,0.00105764,0.00105764,0.00105764
23,1538.94,0.96999,0.51622,0.96676,0.96802,0.72843,0.79801,0.58469,1.11044,0.63158,0.96063,0.00103995,0.00103995,0.00103995
24,1603.65,0.96012,0.49916,0.96584,0.95802,0.74838,0.8151,0.59228,1.12066,0.61026,0.9723,0.00102227,0.00102227,0.00102227
25,1670.53,0.9586,0.50754,0.9713,0.94896,0.74825,0.80957,0.59569,1.09435,0.62093,0.96064,0.00100459,0.00100459,0.00100459
26,1736.32,0.96791,0.50712,0.97265,0.9548,0.75313,0.81373,0.60048,1.08973,0.60149,0.95857,0.000986903,0.000986903,0.000986903
27,1801.64,0.94729,0.49689,0.96162,0.94518,0.75738,0.81011,0.59255,1.10031,0.59844,0.9633,0.000969219,0.000969219,0.000969219
28,1868.3,0.93391,0.48824,0.95278,0.95825,0.75828,0.81352,0.59499,1.09779,0.59812,0.96606,0.000951535,0.000951535,0.000951535
29,1933.89,0.94995,0.49269,0.96301,0.96214,0.75563,0.81033,0.59664,1.09776,0.6146,0.96172,0.000933851,0.000933851,0.000933851
30,2000.52,0.93217,0.48871,0.95544,0.95907,0.75787,0.81803,0.60133,1.09232,0.58669,0.95786,0.000916168,0.000916168,0.000916168
31,2063.54,0.93887,0.50073,0.96198,0.94404,0.75824,0.81789,0.60352,1.07623,0.60613,0.95083,0.000898484,0.000898484,0.000898484
32,2131.72,0.93586,0.48609,0.95536,0.93843,0.75981,0.8144,0.59402,1.11864,0.61127,0.96971,0.0008808,0.0008808,0.0008808
33,2196.16,0.93626,0.48249,0.95462,0.94465,0.76162,0.8155,0.60173,1.09862,0.61446,0.96468,0.000863116,0.000863116,0.000863116
34,2262.11,0.92757,0.47262,0.95415,0.95821,0.75028,0.81282,0.59913,1.08659,0.59282,0.95139,0.000845432,0.000845432,0.000845432
35,2332.26,0.92147,0.47392,0.95445,0.9456,0.76398,0.82196,0.60509,1.08642,0.57914,0.95515,0.000827748,0.000827748,0.000827748
36,2399.63,0.92218,0.47115,0.95854,0.92912,0.76735,0.82407,0.60941,1.09452,0.58457,0.95227,0.000810064,0.000810064,0.000810064
37,2463.97,0.91478,0.47201,0.95403,0.94362,0.76061,0.81529,0.60077,1.08479,0.59793,0.94942,0.00079238,0.00079238,0.00079238
38,2530.6,0.9227,0.47802,0.95364,0.95742,0.76798,0.82315,0.61224,1.07053,0.58781,0.95217,0.000774697,0.000774697,0.000774697
39,2598.04,0.91922,0.47291,0.95244,0.95529,0.76008,0.81757,0.6051,1.07805,0.58376,0.95408,0.000757013,0.000757013,0.000757013
40,2662.8,0.89328,0.45762,0.94989,0.95438,0.76242,0.81655,0.60479,1.08287,0.56918,0.95015,0.000739329,0.000739329,0.000739329
41,2729.44,0.90618,0.46174,0.94619,0.93527,0.76742,0.81114,0.60172,1.07528,0.5789,0.94801,0.000721645,0.000721645,0.000721645
42,2799.54,0.88925,0.45183,0.94177,0.93639,0.76392,0.8166,0.60557,1.07106,0.60509,0.95776,0.000703961,0.000703961,0.000703961
