                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0019,                 2.1542,                 1.0606,                0.76217,                0.68473,                0.79414,                 0.4493,                 1.4682,                 1.6234,                 1.1925,              0.0033304,              0.0033304,              0.0033304
                      1,                0.88014,                 1.1023,                 0.9931,                 0.8923,                0.75955,                0.85151,                0.49798,                 1.4623,                  1.057,                 1.2329,              0.0065978,              0.0065978,              0.0065978
                      2,                0.91728,                0.93249,                 1.0189,                0.76817,                0.69185,                0.77754,                0.43518,                 1.5471,                 1.1413,                 1.2788,              0.0097991,              0.0097991,              0.0097991
                      3,                0.90799,                0.86781,                  1.023,                0.85202,                0.71607,                 0.8075,                0.47667,                 1.4345,                 1.0161,                 1.2284,               0.009703,               0.009703,               0.009703
                      4,                0.87174,                0.77938,                 1.0088,                0.89395,                0.80926,                0.88611,                0.53307,                 1.4284,                0.82309,                 1.2181,               0.009703,               0.009703,               0.009703
                      5,                0.84028,                0.72191,                0.99384,                0.90013,                0.85025,                0.91088,                0.57451,                 1.3432,                0.72923,                 1.1732,               0.009604,               0.009604,               0.009604
                      6,                0.81813,                0.68824,                0.98632,                0.91794,                0.84568,                0.91377,                0.58263,                 1.2984,                0.69532,                 1.1666,               0.009505,               0.009505,               0.009505
                      7,                0.79738,                0.65366,                0.97955,                0.92962,                0.85943,                0.93082,                0.62245,                   1.24,                0.63157,                 1.1125,               0.009406,               0.009406,               0.009406
                      8,                0.77738,                 0.6318,                0.97259,                 0.9299,                0.87452,                0.93199,                0.60412,                 1.2783,                0.66215,                 1.1239,               0.009307,               0.009307,               0.009307
                      9,                0.77011,                0.61634,                0.96735,                0.94168,                 0.8724,                0.93801,                0.61883,                 1.2476,                0.61137,                   1.12,               0.009208,               0.009208,               0.009208
                     10,                0.75987,                0.59457,                0.96323,                0.91741,                0.88599,                0.93754,                0.62987,                 1.2135,                0.60829,                  1.114,               0.009109,               0.009109,               0.009109
                     11,                0.75315,                0.58533,                 0.9625,                0.94691,                0.86893,                 0.9413,                0.63436,                 1.2073,                0.59969,                 1.0977,                0.00901,                0.00901,                0.00901
                     12,                0.74897,                0.57502,                 0.9587,                 0.9591,                0.87964,                0.94757,                0.64375,                 1.1838,                0.57235,                 1.0853,               0.008911,               0.008911,               0.008911
                     13,                0.73274,                  0.558,                 0.9555,                0.94427,                0.89443,                0.94874,                0.64345,                 1.1709,                0.56532,                 1.0741,               0.008812,               0.008812,               0.008812
                     14,                0.73465,                0.55087,                 0.9501,                0.96326,                0.89125,                0.94658,                0.64817,                 1.1684,                0.54878,                 1.0716,               0.008713,               0.008713,               0.008713
                     15,                0.72576,                0.54615,                0.94904,                0.94996,                0.89512,                0.95261,                0.65723,                 1.1632,                0.54739,                 1.0639,               0.008614,               0.008614,               0.008614
                     16,                0.72044,                0.53454,                0.94776,                0.94672,                0.90451,                0.95415,                0.65817,                 1.1383,                0.52177,                 1.0585,               0.008515,               0.008515,               0.008515
                     17,                0.71431,                0.53038,                0.94653,                0.95325,                0.89147,                 0.9509,                0.66034,                 1.1425,                0.53101,                 1.0625,               0.008416,               0.008416,               0.008416
                     18,                0.71808,                 0.5233,                0.94598,                0.94602,                0.89978,                0.95527,                0.67116,                 1.1225,                0.51344,                  1.056,               0.008317,               0.008317,               0.008317
                     19,                0.70306,                0.51347,                0.94185,                0.95221,                0.90026,                0.95729,                 0.6681,                 1.1404,                 0.5162,                 1.0622,               0.008218,               0.008218,               0.008218
                     20,                0.70252,                0.50942,                0.94042,                0.95813,                 0.9047,                0.96198,                0.67368,                 1.1167,                0.50614,                 1.0462,               0.008119,               0.008119,               0.008119
                     21,                0.70105,                0.50174,                0.93912,                0.94961,                0.90946,                0.95998,                0.67766,                 1.1032,                 0.4993,                 1.0357,                0.00802,                0.00802,                0.00802
                     22,                0.69174,                0.49241,                0.93537,                0.95309,                0.89358,                0.95596,                0.68511,                 1.0901,                0.49455,                 1.0339,               0.007921,               0.007921,               0.007921
                     23,                0.69056,                0.49317,                0.93641,                0.95529,                0.90505,                 0.9576,                0.68574,                 1.0938,                 0.4877,                 1.0372,               0.007822,               0.007822,               0.007822
                     24,                0.69012,                0.49034,                0.93641,                0.94869,                0.91368,                0.96241,                0.69304,                 1.0825,                0.48413,                 1.0272,               0.007723,               0.007723,               0.007723
                     25,                0.68661,                0.48228,                0.93503,                0.96133,                0.90351,                0.96078,                0.69043,                 1.0797,                0.47989,                 1.0246,               0.007624,               0.007624,               0.007624
                     26,                0.68337,                0.48099,                0.93332,                0.95122,                0.90681,                0.96421,                0.69201,                 1.0801,                0.47604,                 1.0254,               0.007525,               0.007525,               0.007525
                     27,                0.68153,                0.47722,                0.93295,                0.94219,                0.91343,                0.96079,                0.69693,                 1.0573,                0.46438,                 1.0217,               0.007426,               0.007426,               0.007426
                     28,                0.67663,                 0.4711,                0.93057,                0.95135,                0.91703,                0.96184,                0.69869,                  1.056,                0.46681,                 1.0245,               0.007327,               0.007327,               0.007327
                     29,                0.67722,                 0.4713,                0.92868,                0.95859,                0.91431,                0.96697,                0.70255,                 1.0509,                0.45498,                  1.018,               0.007228,               0.007228,               0.007228
                     30,                0.66887,                0.46294,                0.92595,                0.95483,                0.91462,                0.96041,                 0.7051,                 1.0388,                 0.4505,                   1.01,               0.007129,               0.007129,               0.007129
                     31,                0.67165,                0.46309,                 0.9291,                0.95081,                0.91588,                0.96497,                0.70548,                 1.0397,                0.44893,                 1.0104,                0.00703,                0.00703,                0.00703
                     32,                0.66713,                0.46067,                0.92502,                0.95578,                 0.9209,                0.96639,                0.71392,                 1.0312,                0.44661,                 1.0083,               0.006931,               0.006931,               0.006931
                     33,                 0.6615,                0.45328,                0.92559,                0.95122,                0.92505,                0.96864,                0.71051,                  1.037,                0.44472,                 1.0064,               0.006832,               0.006832,               0.006832
                     34,                0.65654,                0.45099,                0.92283,                0.95983,                0.91374,                0.96652,                0.71338,                 1.0309,                0.44551,                 1.0058,               0.006733,               0.006733,               0.006733
                     35,                0.65905,                0.44994,                0.92189,                 0.9628,                0.91667,                0.96488,                0.70883,                 1.0386,                0.44333,                 1.0086,               0.006634,               0.006634,               0.006634
                     36,                0.65859,                0.44358,                0.92305,                0.95802,                0.91829,                0.96475,                0.71211,                 1.0325,                0.44193,                 1.0055,               0.006535,               0.006535,               0.006535
                     37,                0.65578,                0.44629,                0.92142,                0.95531,                0.91739,                0.96654,                0.71606,                  1.023,                 0.4332,                  1.002,               0.006436,               0.006436,               0.006436
                     38,                0.64937,                0.44013,                0.91841,                0.94778,                0.92413,                0.96619,                0.71925,                 1.0151,                0.43266,                0.99933,               0.006337,               0.006337,               0.006337
                     39,                0.65107,                0.43669,                0.91938,                0.95448,                0.92381,                0.96659,                0.72033,                 1.0082,                0.43231,                0.99783,               0.006238,               0.006238,               0.006238
                     40,                0.64828,                0.43746,                0.91754,                0.95757,                0.92302,                 0.9668,                0.72065,                 1.0056,                0.42949,                0.99558,               0.006139,               0.006139,               0.006139
                     41,                0.64489,                0.43362,                0.92074,                0.95152,                 0.9272,                0.96761,                0.72257,                 1.0051,                 0.4267,                0.99563,                0.00604,                0.00604,                0.00604
                     42,                0.64274,                 0.4284,                  0.917,                0.95696,                0.92266,                0.96845,                0.72515,                 1.0031,                0.42491,                0.99358,               0.005941,               0.005941,               0.005941
                     43,                0.64515,                 0.4308,                0.91765,                0.95715,                0.92258,                0.96813,                0.72564,                 1.0018,                0.42524,                0.99225,               0.005842,               0.005842,               0.005842
                     44,                0.64348,                0.42689,                0.91595,                 0.9543,                0.92269,                0.96936,                 0.7262,                0.99897,                0.42425,                0.99087,               0.005743,               0.005743,               0.005743
                     45,                0.63577,                  0.422,                0.91545,                0.95336,                 0.9235,                0.96969,                0.72755,                0.99623,                0.42126,                0.99009,               0.005644,               0.005644,               0.005644
                     46,                0.62866,                0.42235,                0.91493,                0.94957,                0.92439,                0.96953,                0.72625,                0.99728,                0.42186,                0.99095,               0.005545,               0.005545,               0.005545
                     47,                0.63359,                0.42069,                0.91575,                0.95761,                0.92325,                0.96917,                0.72684,                0.99533,                0.42134,                 0.9911,               0.005446,               0.005446,               0.005446
                     48,                0.63327,                 0.4192,                0.91384,                 0.9568,                0.92218,                  0.971,                0.72573,                0.99434,                0.42088,                0.99067,               0.005347,               0.005347,               0.005347
                     49,                0.62912,                0.41267,                0.91145,                0.95773,                0.92251,                0.97014,                0.72661,                0.99381,                0.42096,                 0.9898,               0.005248,               0.005248,               0.005248
                     50,                 0.6226,                0.40665,                0.91033,                0.95609,                0.92284,                0.97033,                0.72754,                0.99302,                0.41963,                0.98842,               0.005149,               0.005149,               0.005149
                     51,                0.62224,                0.40403,                0.90973,                0.94851,                0.92976,                   0.97,                0.72852,                0.99185,                0.41864,                0.98791,                0.00505,                0.00505,                0.00505
                     52,                 0.6237,                  0.407,                0.91146,                0.95879,                0.91931,                0.96954,                0.72968,                0.99049,                0.41834,                0.98716,               0.004951,               0.004951,               0.004951
                     53,                0.61802,                0.39948,                0.90906,                0.96053,                0.92033,                0.96969,                0.72939,                0.98845,                0.41794,                0.98657,               0.004852,               0.004852,               0.004852
                     54,                0.61823,                0.40072,                0.90742,                0.95568,                0.92121,                0.97006,                0.72938,                0.98678,                0.41758,                0.98597,               0.004753,               0.004753,               0.004753
                     55,                0.61379,                0.40104,                0.90805,                0.96167,                0.91843,                0.97033,                0.72979,                0.98523,                0.41684,                0.98543,               0.004654,               0.004654,               0.004654
                     56,                0.61979,                0.40108,                0.90904,                0.96221,                0.91815,                0.97074,                0.73013,                0.98374,                0.41552,                0.98503,               0.004555,               0.004555,               0.004555
                     57,                0.61811,                0.39698,                 0.9094,                0.96121,                0.91839,                0.97059,                0.73085,                 0.9832,                0.41571,                0.98498,               0.004456,               0.004456,               0.004456
                     58,                0.61107,                0.39499,                0.90873,                0.93194,                0.94726,                0.97069,                0.73126,                0.98147,                0.41459,                0.98452,               0.004357,               0.004357,               0.004357
                     59,                0.61014,                0.38825,                0.90463,                0.93206,                 0.9485,                 0.9709,                0.73205,                0.97931,                 0.4137,                0.98401,               0.004258,               0.004258,               0.004258
                     60,                0.60047,                 0.3837,                0.90473,                 0.9331,                0.94496,                0.97096,                0.73225,                0.97844,                0.41305,                0.98355,               0.004159,               0.004159,               0.004159
