epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6201,0.57337,2.70762,0.98123,0.79974,0.65399,0.72145,0.64687,0.53219,1.33302,0.87309,0.000207391,0.000207391,0.000207391
2,103.087,0.51863,1.34712,0.94737,0.91955,0.78873,0.86468,0.77135,0.53881,0.8528,0.88407,0.000410579,0.000410579,0.000410579
3,148.418,0.52538,1.07837,0.93531,0.97165,0.84755,0.90548,0.80414,0.53791,0.65536,0.8639,0.000608612,0.000608612,0.000608612
4,195.188,0.52861,0.978,0.93253,0.96568,0.82748,0.91083,0.81823,0.51656,0.61153,0.84552,0.000601797,0.000601797,0.000601797
5,242.301,0.52164,0.89434,0.92702,0.97006,0.84431,0.91878,0.82424,0.53131,0.57275,0.84894,0.000594062,0.000594062,0.000594062
6,288.907,0.51155,0.85729,0.92273,0.9263,0.85933,0.91509,0.81671,0.52837,0.593,0.85284,0.000586328,0.000586328,0.000586328
7,334.015,0.50429,0.79488,0.92365,0.96195,0.84781,0.91713,0.81888,0.52401,0.5095,0.84844,0.000578594,0.000578594,0.000578594
8,381.756,0.5059,0.76217,0.92173,0.96843,0.86306,0.93288,0.83816,0.524,0.508,0.84785,0.000570859,0.000570859,0.000570859
9,428.102,0.50476,0.75215,0.92258,0.95733,0.87581,0.94004,0.847,0.51827,0.47741,0.849,0.000563125,0.000563125,0.000563125
10,473.903,0.49688,0.73846,0.92125,0.97692,0.8577,0.92999,0.83496,0.513,0.44372,0.84805,0.000555391,0.000555391,0.000555391
11,520.809,0.49762,0.69124,0.92065,0.9455,0.87554,0.935,0.83844,0.51962,0.46125,0.8478,0.000547656,0.000547656,0.000547656
12,568.019,0.49345,0.68423,0.92455,0.97979,0.88492,0.94668,0.85567,0.50527,0.42538,0.84499,0.000539922,0.000539922,0.000539922
