epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8379,1.41393,1.11512,1.31093,0.9558,0.95273,0.98298,0.61186,1.35517,0.56266,1.14988,0.000472725,0.000472725,0.000472725
2,38.621,1.34879,0.91903,1.26241,0.95646,0.94051,0.9779,0.54776,1.54265,0.64355,1.243,0.000937313,0.000937313,0.000937313
3,54.8209,1.35026,0.93727,1.24903,0.95131,0.89809,0.96112,0.5032,1.61127,0.72818,1.26271,0.00139011,0.00139011,0.00139011
4,70.716,1.31825,0.91899,1.24015,0.91647,0.90416,0.94995,0.51633,1.54256,0.68308,1.21866,0.00137595,0.00137595,0.00137595
5,86.6395,1.29961,0.91453,1.2308,0.93484,0.93792,0.97933,0.56362,1.42302,0.59546,1.18865,0.00135826,0.00135826,0.00135826
6,102.439,1.31355,0.88746,1.24006,0.95713,0.8901,0.96638,0.48781,1.73746,0.70955,1.38114,0.00134058,0.00134058,0.00134058
7,118.414,1.27443,0.86036,1.222,0.97231,0.92958,0.98259,0.59393,1.32247,0.56754,1.15501,0.0013229,0.0013229,0.0013229
8,134.33,1.28228,0.85294,1.22461,0.90197,0.90044,0.9382,0.53091,1.36531,0.64692,1.17262,0.00130521,0.00130521,0.00130521
9,150.528,1.26139,0.81569,1.19498,0.97454,0.94874,0.98176,0.48571,1.78913,0.67055,1.41313,0.00128753,0.00128753,0.00128753
10,166.607,1.24876,0.82315,1.21224,0.93833,0.92479,0.9728,0.49027,1.70472,0.6482,1.38239,0.00126985,0.00126985,0.00126985
11,182.499,1.26075,0.82149,1.21162,0.96154,0.90777,0.96953,0.55877,1.46749,0.60665,1.21592,0.00125216,0.00125216,0.00125216
12,198.289,1.24405,0.82538,1.20538,0.94369,0.9537,0.9789,0.557,1.48597,0.58577,1.20735,0.00123448,0.00123448,0.00123448
13,214.492,1.21792,0.81535,1.19294,0.96045,0.92531,0.9759,0.58883,1.2952,0.57267,1.1601,0.00121679,0.00121679,0.00121679
14,230.45,1.22774,0.81307,1.18957,0.96658,0.92069,0.97977,0.57537,1.43705,0.5943,1.2203,0.00119911,0.00119911,0.00119911
15,246.573,1.20532,0.79758,1.19142,0.96958,0.91362,0.96345,0.52632,1.57118,0.63217,1.29726,0.00118143,0.00118143,0.00118143
16,262.43,1.21262,0.78975,1.17929,0.93107,0.95961,0.97873,0.58882,1.3549,0.59246,1.19153,0.00116374,0.00116374,0.00116374
17,278.534,1.20491,0.7693,1.17905,0.93347,0.97054,0.98085,0.55996,1.48257,0.58814,1.20489,0.00114606,0.00114606,0.00114606
18,294.513,1.19568,0.77047,1.17577,0.95514,0.9618,0.9823,0.57331,1.43301,0.56824,1.20809,0.00112837,0.00112837,0.00112837
19,310.576,1.18994,0.76666,1.16668,0.93839,0.90315,0.97019,0.59499,1.357,0.57095,1.18113,0.00111069,0.00111069,0.00111069
20,326.368,1.16598,0.75155,1.15893,0.96513,0.9,0.97465,0.58246,1.41235,0.58538,1.17234,0.00109301,0.00109301,0.00109301
