                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95444,                 1.3401,                 1.1119,                0.80289,                0.75511,                 0.8512,                0.51389,                 1.3873,                0.93087,                 1.2334,              0.0033304,              0.0033304,              0.0033304
                      1,                0.80927,                0.74588,                0.99308,                0.85851,                0.80422,                0.87064,                0.52607,                 1.3854,                0.84779,                 1.2072,              0.0066198,              0.0066198,              0.0066198
                      2,                0.86389,                0.78775,                 1.0096,                0.85941,                 0.7243,                 0.8173,                0.45815,                 1.4654,                 1.0317,                 1.2727,              0.0098651,              0.0098651,              0.0098651
                      3,                0.87706,                0.80473,                 1.0223,                0.80168,                0.73066,                0.78154,                0.46216,                  1.414,                0.97434,                 1.2209,               0.009802,               0.009802,               0.009802
                      4,                0.84699,                0.72741,                 1.0093,                0.89741,                0.85952,                0.91189,                0.55792,                 1.3516,                0.72365,                 1.1931,               0.009802,               0.009802,               0.009802
                      5,                0.81571,                0.67991,                0.99433,                0.91791,                0.86458,                  0.926,                0.59445,                 1.3188,                0.66585,                 1.1675,               0.009736,               0.009736,               0.009736
                      6,                0.79023,                0.64567,                0.98532,                0.89638,                0.87652,                0.92112,                0.60379,                 1.2653,                0.64594,                 1.1658,                0.00967,                0.00967,                0.00967
                      7,                0.76657,                0.61419,                 0.9751,                0.94815,                 0.8727,                0.93388,                0.60823,                 1.2548,                0.61184,                 1.1261,               0.009604,               0.009604,               0.009604
                      8,                0.75049,                0.59009,                0.96932,                0.93295,                0.88309,                0.93785,                0.61904,                 1.2405,                0.60876,                 1.1335,               0.009538,               0.009538,               0.009538
                      9,                0.74089,                0.57727,                0.96289,                0.94837,                0.88601,                0.93878,                0.62078,                 1.2045,                 0.5848,                   1.11,               0.009472,               0.009472,               0.009472
                     10,                0.73018,                0.55495,                0.96237,                 0.9401,                0.88583,                0.94666,                0.64782,                 1.1875,                0.56357,                 1.0965,               0.009406,               0.009406,               0.009406
                     11,                0.72352,                0.54385,                 0.9594,                0.93426,                0.88982,                 0.9432,                 0.6321,                 1.2053,                0.57765,                 1.1069,                0.00934,                0.00934,                0.00934
                     12,                0.71838,                0.53804,                0.95714,                0.94413,                0.90543,                0.95672,                0.66079,                 1.1495,                0.53202,                 1.0789,               0.009274,               0.009274,               0.009274
                     13,                0.70258,                0.52294,                0.95076,                0.95217,                0.90107,                0.95337,                0.65581,                 1.1466,                0.52247,                 1.0727,               0.009208,               0.009208,               0.009208
                     14,                0.70145,                0.50952,                0.94665,                0.95612,                0.91318,                0.95795,                0.67021,                 1.1365,                 0.5122,                 1.0594,               0.009142,               0.009142,               0.009142
                     15,                0.69125,                0.50673,                0.94517,                0.95016,                0.91502,                0.96378,                 0.6808,                 1.1055,                0.50665,                 1.0526,               0.009076,               0.009076,               0.009076
                     16,                0.68675,                 0.4961,                0.94254,                0.94628,                0.91461,                0.95818,                0.67726,                 1.1004,                0.49943,                 1.0411,                0.00901,                0.00901,                0.00901
                     17,                0.67867,                0.49426,                0.93852,                0.94939,                0.92222,                0.96451,                 0.6824,                  1.103,                0.48371,                 1.0452,               0.008944,               0.008944,               0.008944
                     18,                0.68329,                0.48455,                0.94063,                 0.9538,                0.90581,                0.96208,                0.67862,                 1.0911,                0.49109,                  1.043,               0.008878,               0.008878,               0.008878
                     19,                 0.6696,                0.47745,                  0.935,                0.95449,                0.91465,                0.96301,                0.68628,                 1.0885,                0.48273,                 1.0391,               0.008812,               0.008812,               0.008812
                     20,                0.66487,                0.47042,                0.93295,                0.95204,                0.90973,                0.96172,                0.68875,                 1.0799,                0.47642,                 1.0378,               0.008746,               0.008746,               0.008746
                     21,                0.66203,                0.46722,                 0.9303,                 0.9591,                0.91172,                0.96594,                0.69746,                 1.0685,                0.47124,                 1.0272,                0.00868,                0.00868,                0.00868
                     22,                0.65596,                0.45755,                0.92908,                0.95955,                0.90761,                0.96479,                 0.6978,                 1.0585,                0.46431,                 1.0232,               0.008614,               0.008614,               0.008614
                     23,                0.65478,                0.45799,                0.93019,                0.95118,                0.91259,                0.96101,                0.69854,                 1.0553,                0.46453,                 1.0278,               0.008548,               0.008548,               0.008548
                     24,                0.65381,                0.45743,                0.92985,                0.95364,                0.92391,                0.96786,                0.70668,                 1.0429,                0.45268,                 1.0204,               0.008482,               0.008482,               0.008482
                     25,                0.64722,                0.44944,                0.92659,                0.94446,                0.92801,                0.97143,                0.70598,                 1.0327,                0.44656,                 1.0113,               0.008416,               0.008416,               0.008416
                     26,                0.64859,                0.45034,                0.92445,                 0.9551,                0.92194,                0.96708,                0.70878,                 1.0321,                0.44612,                  1.007,                0.00835,                0.00835,                0.00835
                     27,                 0.6424,                0.44092,                0.92336,                 0.9504,                0.92914,                0.97177,                0.71638,                 1.0248,                0.43787,                 1.0034,               0.008284,               0.008284,               0.008284
                     28,                0.63903,                0.43874,                0.92207,                0.95442,                0.91752,                0.97063,                0.71564,                 1.0163,                0.43872,                 1.0027,               0.008218,               0.008218,               0.008218
                     29,                0.64203,                0.43609,                0.92084,                0.95545,                0.92118,                0.97231,                0.71993,                 1.0128,                0.43425,                0.99659,               0.008152,               0.008152,               0.008152
                     30,                 0.6335,                0.43172,                0.91691,                0.95591,                0.92237,                 0.9704,                0.71871,                 1.0033,                0.42994,                0.99463,               0.008086,               0.008086,               0.008086
                     31,                0.63374,                 0.4297,                  0.917,                0.95669,                0.91863,                0.97042,                0.72347,                0.99085,                0.42353,                0.98756,                0.00802,                0.00802,                0.00802
                     32,                0.62898,                0.42437,                0.91624,                0.94823,                0.93438,                0.97078,                0.72771,                0.98957,                0.42104,                 0.9918,               0.007954,               0.007954,               0.007954
                     33,                0.62242,                0.42042,                0.91782,                0.94908,                0.92924,                0.97136,                0.73027,                0.98779,                0.41794,                 0.9892,               0.007888,               0.007888,               0.007888
                     34,                0.61857,                0.41738,                0.91531,                0.94476,                0.93931,                0.97232,                0.72977,                0.98641,                0.41414,                0.98867,               0.007822,               0.007822,               0.007822
                     35,                0.62251,                0.41627,                0.91628,                0.94306,                 0.9388,                0.97221,                0.72736,                0.98951,                0.41286,                0.99329,               0.007756,               0.007756,               0.007756
                     36,                0.62029,                 0.4135,                0.91562,                0.94644,                0.93116,                0.97017,                0.72595,                0.98456,                0.41268,                0.98705,                0.00769,                0.00769,                0.00769
                     37,                0.61917,                0.41671,                0.91471,                0.95557,                0.92073,                0.97216,                0.73347,                0.97266,                0.40879,                0.98327,               0.007624,               0.007624,               0.007624
                     38,                0.61311,                0.40756,                0.91183,                0.94245,                0.93869,                0.97122,                0.73227,                0.96916,                0.40766,                0.98034,               0.007558,               0.007558,               0.007558
                     39,                0.61436,                0.40777,                0.91129,                0.94372,                0.93877,                0.97237,                 0.7343,                0.96632,                0.40884,                0.98034,               0.007492,               0.007492,               0.007492
                     40,                0.60901,                0.40812,                0.90833,                  0.946,                0.93781,                0.97237,                 0.7339,                0.96545,                0.40609,                 0.9808,               0.007426,               0.007426,               0.007426
                     41,                0.61075,                 0.4074,                0.90962,                0.94322,                0.94121,                0.97255,                0.73479,                0.96122,                0.40577,                0.97925,                0.00736,                0.00736,                0.00736
                     42,                0.60585,                0.39884,                0.90724,                0.95619,                0.92377,                0.97259,                0.73505,                 0.9524,                0.40486,                  0.976,               0.007294,               0.007294,               0.007294
                     43,                 0.6082,                0.39886,                0.90998,                 0.9458,                0.93506,                0.97208,                0.73776,                0.94855,                0.40261,                0.97492,               0.007228,               0.007228,               0.007228
                     44,                0.60527,                0.39728,                0.90886,                0.94442,                0.93819,                 0.9723,                0.73906,                0.94511,                0.39952,                0.97504,               0.007162,               0.007162,               0.007162
                     45,                0.59846,                0.39692,                0.90661,                0.94101,                0.94039,                0.97333,                0.74198,                0.94371,                0.39895,                0.97398,               0.007096,               0.007096,               0.007096
                     46,                 0.5931,                 0.3955,                 0.9071,                0.94196,                0.93857,                0.97317,                0.74216,                 0.9406,                0.39785,                0.97325,                0.00703,                0.00703,                0.00703
                     47,                0.59706,                0.39201,                0.90605,                0.94508,                  0.934,                0.97267,                0.74332,                0.93979,                0.39586,                0.97249,               0.006964,               0.006964,               0.006964
                     48,                0.59531,                0.39202,                0.90526,                0.95363,                0.92523,                0.97337,                0.74477,                0.93608,                0.39253,                0.97091,               0.006898,               0.006898,               0.006898
                     49,                0.59369,                0.38455,                0.90589,                 0.9525,                0.92644,                0.97359,                0.74641,                0.93567,                0.39147,                0.97039,               0.006832,               0.006832,               0.006832
                     50,                0.58753,                0.38573,                0.90433,                0.94061,                0.94212,                0.97405,                0.74754,                0.93147,                0.39005,                0.96876,               0.006766,               0.006766,               0.006766
                     51,                0.58645,                0.38104,                 0.9008,                0.93976,                0.94387,                0.97361,                0.74869,                0.93046,                0.39107,                0.96818,                 0.0067,                 0.0067,                 0.0067
                     52,                0.58955,                0.38206,                0.90598,                0.95156,                0.93234,                0.97365,                0.74848,                0.92941,                0.39054,                0.96768,               0.006634,               0.006634,               0.006634
                     53,                0.58504,                0.38045,                 0.9004,                0.94877,                0.93444,                0.97351,                 0.7479,                0.92881,                0.38973,                0.96769,               0.006568,               0.006568,               0.006568
                     54,                0.58258,                0.37671,                0.89869,                0.95233,                0.93064,                0.97334,                0.74854,                0.92795,                0.38833,                0.96722,               0.006502,               0.006502,               0.006502
                     55,                0.58023,                0.37966,                0.90019,                0.95107,                0.93184,                0.97335,                0.74818,                 0.9262,                0.38717,                0.96645,               0.006436,               0.006436,               0.006436
                     56,                 0.5859,                0.37671,                0.90203,                0.94927,                0.93165,                0.97318,                0.74902,                0.92543,                0.38599,                 0.9662,                0.00637,                0.00637,                0.00637
                     57,                 0.5849,                 0.3792,                0.90232,                0.94483,                0.93767,                 0.9737,                0.74922,                0.92425,                0.38612,                0.96602,               0.006304,               0.006304,               0.006304
                     58,                0.57937,                0.37333,                0.90135,                0.93807,                0.94218,                0.97385,                0.74911,                0.92291,                0.38569,                0.96577,               0.006238,               0.006238,               0.006238
